date,machine_name,region_id,sdi,genotype,temp,sex,baseline_days,SD_start,flipping,incubator,status,death_date,dead_during_xp
2017-10-16,ETHOSCOPE_051,3,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,4,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,5,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,6,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,7,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,8,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,9,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,10,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,11,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,12,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,13,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,14,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,15,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,16,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,17,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,18,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,19,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_051,20,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,1,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,2,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
