date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date
2017-03-21,ETHOSCOPE_040,11,F,0,3,OK,71,2017-04-21
2017-03-21,ETHOSCOPE_040,12,F,10,3,OK,72,2017-04-20
2017-03-21,ETHOSCOPE_040,13,F,0,3,OK,73,Inf
2017-03-21,ETHOSCOPE_040,14,F,10,3,OK,74,2017-04-20
2017-03-21,ETHOSCOPE_040,15,F,0,3,OK,75,2017-04-25
2017-03-21,ETHOSCOPE_040,16,F,10,3,OK,76,2017-04-22
2017-03-21,ETHOSCOPE_040,17,F,0,3,OK,77,2017-04-24
2017-03-21,ETHOSCOPE_040,18,F,10,3,OK,78,2017-04-20
2017-03-21,ETHOSCOPE_040,19,F,0,3,OK,79,2017-04-20
2017-03-21,ETHOSCOPE_040,20,F,10,3,OK,80,2017-04-21
2017-03-21,ETHOSCOPE_052,1,M,10,3,OK,81,2017-04-19
2017-03-21,ETHOSCOPE_052,2,M,0,3,OK,82,2017-04-21
2017-03-21,ETHOSCOPE_052,3,M,10,3,OK,83,2017-04-13
2017-03-21,ETHOSCOPE_052,4,M,0,3,OK,84,Inf
2017-03-21,ETHOSCOPE_052,5,M,10,3,OK,85,2017-04-20
2017-03-21,ETHOSCOPE_052,6,M,0,3,OK,86,2017-04-20
2017-03-21,ETHOSCOPE_052,7,M,10,3,OK,87,2017-04-21
2017-03-21,ETHOSCOPE_052,8,M,0,3,OK,88,2017-04-21
2017-03-21,ETHOSCOPE_052,9,M,10,3,OK,89,2017-04-09
2017-03-21,ETHOSCOPE_052,10,M,0,3,OK,90,2017-04-15
2017-03-21,ETHOSCOPE_052,11,M,0,3,OK,91,2017-04-19
2017-03-21,ETHOSCOPE_052,12,M,10,3,OK,92,2017-04-23
2017-03-21,ETHOSCOPE_052,13,M,0,3,OK,93,2017-04-24
2017-03-21,ETHOSCOPE_052,14,M,10,3,OK,94,2017-04-18
2017-03-21,ETHOSCOPE_052,15,M,0,3,OK,95,2017-04-18
2017-03-21,ETHOSCOPE_052,16,M,10,3,OK,96,2017-04-21
2017-03-21,ETHOSCOPE_052,17,M,0,3,OK,97,2017-04-17
2017-03-21,ETHOSCOPE_052,18,M,10,3,OK,98,2017-04-24
2017-03-21,ETHOSCOPE_052,19,M,0,3,OK,99,2017-04-20
2017-03-21,ETHOSCOPE_052,20,M,10,3,tube_not_moving,100,2017-04-18
2017-03-21,ETHOSCOPE_062,1,F,10,3,OK,101,2017-04-23
2017-03-21,ETHOSCOPE_062,2,F,0,3,OK,102,2017-04-24
2017-03-21,ETHOSCOPE_062,3,F,10,3,OK,103,2017-04-18
2017-03-21,ETHOSCOPE_062,4,F,0,3,OK,104,2017-04-17
2017-03-21,ETHOSCOPE_062,5,F,10,3,OK,105,2017-04-20
2017-03-21,ETHOSCOPE_062,6,F,0,3,OK,106,2017-04-18
2017-03-21,ETHOSCOPE_062,7,F,10,3,OK,107,2017-04-23
2017-03-21,ETHOSCOPE_062,8,F,0,3,OK,108,2017-04-12
2017-03-21,ETHOSCOPE_062,9,F,10,3,OK,109,2017-04-19
2017-03-21,ETHOSCOPE_062,10,F,0,3,OK,110,2017-04-20
2017-03-21,ETHOSCOPE_062,11,F,0,3,OK,111,2017-04-20
2017-03-21,ETHOSCOPE_062,12,F,10,3,OK,112,2017-04-20
2017-03-21,ETHOSCOPE_062,13,F,0,3,OK,113,2017-04-18
2017-03-21,ETHOSCOPE_062,14,F,10,3,OK,114,2017-04-24
2017-03-21,ETHOSCOPE_062,15,F,0,3,OK,115,2017-04-22
2017-03-21,ETHOSCOPE_062,16,F,10,3,OK,116,2017-04-17
2017-03-21,ETHOSCOPE_062,17,F,0,3,OK,117,2017-04-24
2017-03-21,ETHOSCOPE_062,18,F,10,3,OK,118,2017-04-17
2017-03-21,ETHOSCOPE_062,19,F,0,3,OK,119,2017-04-20
2017-03-21,ETHOSCOPE_062,20,F,10,3,OK,120,2017-04-20
2017-03-21,ETHOSCOPE_046,1,F,10,3,OK,121,2017-04-17
2017-03-21,ETHOSCOPE_046,2,F,0,3,OK,122,2017-04-24
2017-03-21,ETHOSCOPE_046,3,F,10,3,OK,123,2017-04-19
2017-03-21,ETHOSCOPE_046,4,F,0,3,OK,124,2017-04-23
2017-03-21,ETHOSCOPE_046,5,F,10,3,OK,125,2017-04-20
2017-03-21,ETHOSCOPE_046,6,F,0,3,OK,126,2017-04-26
2017-03-21,ETHOSCOPE_046,7,F,10,3,OK,127,2017-04-18
2017-03-21,ETHOSCOPE_046,8,F,0,3,OK,128,2017-04-21
