"","id","sleep_before","video_machine_name","video_region_id","video_id","machine_name","machine_id","region_id","sex","sdi","baseline_days","status","i.video_region_id","video","mean_asleep","mean_quiet","mean_micro.mov.","mean_asleep_l","mean_quiet_l","mean_micro.mov._l","mean_asleep_d","mean_quiet_d","mean_micro.mov._d","rank_asleep","rank_quiet","mean_asleep_dam","mean_quiet_dam","mean_asleep_dam_l","mean_quiet_dam_l","mean_asleep_dam_d","mean_quiet_dam_d"
"1","2016-04-04_17-38-06_019aee|04",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",4,"M",0,4,"OK","None","None",0.480299160890186,0.742703392922291,0.101362033321172,0.485974125784552,0.752017420263866,0.0965159472268477,0.47517073735386,0.734286375737933,0.105741405255238,330,397,0.858531786220666,0.967244422581672,0.851843277967475,0.973551710168413,0.865219907407407,0.9609375
"2","2016-04-04_17-38-06_019aee|08",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",8,"M",0,4,"OK","None","None",0.364057433997221,0.636261000463177,0.113970588235294,0.449522154648132,0.728757602085143,0.102172024326672,0.278661959604144,0.543839342554546,0.125759592569014,119,98,0.75094765473538,0.940015625452125,0.840152786619596,0.96706985357949,0.661747685185185,0.912962962962963
"3","2016-04-04_17-38-06_019aee|10",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",10,"M",0,4,"OK","None","None",0.438331982868388,0.723145039935178,0.110082185438129,0.393702610406899,0.749493546333275,0.124211379290386,0.482956189594305,0.696799583309219,0.0959546270038775,245,339,0.830261292282763,0.942359443270928,0.907980785925111,0.971121013947566,0.752546296296296,0.913599537037037
"4","2016-04-04_17-38-06_019aee|15",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",15,"M",0,4,"OK","None","None",0.378725620695642,0.692459054343423,0.097980207187916,0.454424445859135,0.757856357428092,0.0922507089530644,0.303026795532149,0.627061751258753,0.103709705422768,139,227,0.770942446251338,0.933013108018172,0.858151513397766,0.965391515712715,0.683738425925926,0.900636574074074
"5","2016-04-04_17-38-06_019aee|17",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",17,"M",0,4,"OK","None","None",0.419360439878455,0.730256113442338,0.0957603819997106,0.44333178976615,0.757177587404492,0.0960870571891642,0.395393251924301,0.703339313617686,0.0954337635279819,207,362,0.820654532827917,0.942938163720015,0.847155506684415,0.960356502112391,0.794155092592593,0.925520833333333
"6","2016-04-04_17-38-06_019aee|19",NA,NA,NA,NA,"ETHOSCOPE_019","019aeeee10184bb39b0754e75cef7900",19,"M",0,4,"OK","None","None",0.4222377378251,0.718624541804852,0.104061209053354,0.334776250365604,0.730564492541679,0.119157648435215,0.508767868510909,0.706811736790323,0.0891255280976908,214,323,0.803235047310397,0.937671807633323,0.842467735401354,0.961745471381446,0.76400462962963,0.913599537037037
"7","2016-04-04_17-38-27_007aee|02",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",2,"M",0,4,"OK","None","None",0.460135683636785,0.728284819668329,0.0827728168850748,0.399175042119328,0.690698890373555,0.0901063149944809,0.520863475895596,0.76572718328607,0.0754673302853174,289,356,0.826239185161608,0.961196793888712,0.762312633832976,0.959777764916951,0.890162037037037,0.962615740740741
"8","2016-04-04_17-38-27_007aee|04",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",4,"M",0,4,"OK","None","None",0.453006539730308,0.742953874645523,0.113200995427976,0.376815787950692,0.66959893512356,0.125354476532207,0.529197291509925,0.816308814167487,0.101047514323746,270,398,0.857924129749125,0.962383170809341,0.762486254991608,0.949418369118583,0.953356481481481,0.975347222222222
"9","2016-04-04_17-38-27_007aee|06",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",6,"M",0,4,"OK","None","None",0.52090627622327,0.679302063138401,0.07630429121213,0.420510446206378,0.562011690491348,0.0883152960240755,0.621296296296296,0.796585648148148,0.0642939814814815,398,191,0.744523857750514,0.938047975925229,0.605995717344754,0.920597256785694,0.883043981481481,0.955497685185185
"10","2016-04-04_17-38-27_007aee|08",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",8,"M",0,4,"OK","None","None",0.538746455234678,0.771254123502518,0.0959546270038775,0.586665895017073,0.781179466404306,0.0905144973667458,0.490827015452283,0.761328780600729,0.101394756641009,431,451,0.894412454064064,0.966376341908041,0.880259274263557,0.964176167602292,0.908564814814815,0.968576388888889
"11","2016-04-04_17-38-27_007aee|10",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",10,"M",0,4,"OK","None","None",0.296782228400962,0.570654849827671,0.0910881339241753,0.313849181086868,0.600613461427166,0.0931766884657677,0.279684601113173,0.540642393320965,0.0889958256029685,48,35,0.595156109841141,0.885355479035852,0.611609468140517,0.929972799351814,0.578703703703704,0.840740740740741
"12","2016-04-04_17-38-27_007aee|13",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",13,"M",0,4,"OK","None","None",0.342506583326099,0.685505107503545,0.107300980987933,0.390033568700081,0.694061812709804,0.105683528186133,0.294982348515539,0.676948897505643,0.108918340181723,96,205,0.771144998408519,0.936803726959692,0.753689449620927,0.943110133688292,0.788599537037037,0.930497685185185
"13","2016-04-04_17-38-27_007aee|15",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",15,"M",0,4,"OK","None","None",0.513629260952601,0.731263383297645,0.0987615024017594,0.483650674228833,0.729266739973378,0.0997742924937786,0.54360784767637,0.733260026621911,0.0977487123097402,389,364,0.833357446685379,0.958042767441188,0.803981711904624,0.963771051565484,0.862731481481481,0.952314814814815
